Kategori,Kitap Adı,Puan,Fiyat
Roman,Gökçen 3: Güz Yağmurları - Hediyeli Özel Kutu,NaN,"239,40"
Roman,İnsanlığımı Yitirirken,5.0,"50,40"
Roman,Yaşamak,5.0,"113,75"
Roman,Bir İdam Mahkumunun Son Günü,5.0,"31,20"
Roman,Gökçen - 3: Güz Yağmurları,NaN,"185,40"
Roman,Beyaz Leke,NaN,"227,40"
Roman,Gece Yarısı Kütüphanesi,4.7777777777778,"154,00"
Roman,Gökçen 2: Geride Kalanlar,NaN,"185,40"
Roman,Salkım Sokak No: 3,NaN,"178,75"
Roman,Bir Kibritle Yok Olmak 1 Özel Kutulu Set,NaN,"255,36"
Roman,Gökçen 1: Unutulan Çiçekler,5.0,"185,40"
Roman,Karışık Kaset,NaN,"49,50"
Roman,Zul,NaN,"104,00"
Roman,Kazazede - 1 Kutulu Set,NaN,"184,50"
Roman,Gökçen - 3: Güz Yağmurları,NaN,"173,40"
Roman,Oyuncak Müzesi 1 Ciltli Özel Kutulu Set,NaN,"255,36"
Roman,Yanlış Numara,NaN,"134,50"
Roman,Derviş Kelamı,NaN,"110,00"
Roman,Taş Kağıt Makas,NaN,"100,00"
Roman,İyileşme Zamanı,NaN,"110,00"
Roman,Kürk Mantolu Madonna,5.0,"22,75"
Roman,Beyaz Leke,NaN,"209,40"
Roman,Hyunam-Dong Kitabevi,NaN,"151,80"
Roman,Çalıntı Dokunuşlar,NaN,"155,35"
Roman,Şeker Portakalı,5.0,"121,60"
Roman,Harry Potter ve Felsefe Taşı - 1,5.0,"130,00"
Roman,Emanet Aşk 2 - Silme Sendeki İzlerimi,NaN,"155,40"
Roman,Gurur ve Önyargı,NaN,"68,25"
Roman,Evlilik Anlaşması,NaN,"150,00"
Roman,Enkaz Altındakiler 2,NaN,"179,40"
Roman,Demir Alev,NaN,"385,00"
Roman,İçimizdeki Şeytan,NaN,"32,50"
Roman,Medusa`nın Ölü Kumları 2,NaN,"185,40"
Roman,Azrail,NaN,"97,50"
Roman,Bir Gönül Davası,NaN,"154,50"
Roman,Beyaz Zambaklar Ülkesinde,NaN,"28,60"
Roman,Buzdan Kıvılcım Zirve Ötesi Serisi - 1,NaN,"179,40"
Roman,Kayıp Ruhlar Durağı,NaN,"110,00"
Roman,Gölgenin Güneşi 3 – Rütbe Meselesi,NaN,"145,00"
Roman,Oyuncak Müzesi 1,NaN,"197,76"
Roman,Bir Gönül Davası Kutulu Set,NaN,"174,50"
Roman,Gökçen 1: Unutulan Çiçekler,NaN,"173,40"
Roman,Altıncı Koğuş,NaN,"22,10"
Roman,İçinde Bir Sen 4 - Azlem,NaN,"155,40"
Roman,Gümüş Yürek 1: Kayıp Dünyanın Başlangıcı Özel Kutulu,NaN,"300,16"
Roman,Yüksek Uçuş,NaN,"160,00"
Roman,Theo’yu Seçmek,NaN,"114,50"
Roman,Öfke Kralı,NaN,"147,50"
Roman,Emare - Sarmaşık,5.0,"197,40"
Roman,Bir Aşk Masalı,5.0,"55,25"
Roman,Arayış,NaN,"126,00"
Roman,Kiraz Ağacı ile Aramızdaki Mesafe,5.0,"112,00"
Roman,Dorian Gray’in Portresi,5.0,"44,20"
Roman,İçinde Bir Sen 4 - Azlem,NaN,"179,40"
Roman,Bize Geri Dön,NaN,"134,50"
Roman,Yıldızlarda Saklı,NaN,"110,00"
Roman,Tadında Aşk Var Kutu Set,NaN,"184,50"
Roman,Her Kimsen,NaN,"178,75"
Roman,Yırtıcı,NaN,"147,50"
Roman,Ötanazi Okulu Kutulu Set,5.0,"813,60"
Roman,Esir Şehrin İnsanları,NaN,"132,00"
Roman,Kuyucaklı Yusuf,5.0,"31,20"
Roman,Sonsuz Mutluluklar,NaN,"115,00"
Roman,Her Kimsen,NaN,"133,25"
Roman,Sokak Nöbetçileri 4,NaN,"179,40"
Roman,Veronika Ölmek İstiyor,5.0,"124,80"
Roman,Yabancı,NaN,"96,00"
Roman,Parçalanmış Ruhlar,NaN,"130,00"
Roman,Emanet Aşk 2 - Silme Sendeki İzlerimi,NaN,"179,40"
Roman,4 Gün 3 Gece,NaN,"110,50"
Roman,Medusa`nın Ölü Kumları - Hediyeli Özel Kutu,NaN,"239,40"
Roman,Hizmetçi,NaN,"164,45"
Roman,"Filippo, Ben ve Kiraz Ağacı",NaN,"84,00"
Roman,Bronz,NaN,"145,00"
Roman,Beyaz Geceler,NaN,"31,20"
Roman,Fahrenheit 451,NaN,"108,00"
Roman,Hepimiz Gökyüzü Olmak İstedik 2.5 Ejderha ve Yıldız - Ciltli,NaN,"273,00"
Roman,Acıların Hükümdarı,NaN,"179,40"
Roman,Dördüncü Kanat,NaN,"220,00"
Roman,Momo,NaN,"157,85"
Roman,Ay Işığı Sokağı,NaN,"19,50"
Roman,Serenad,NaN,"168,00"
Roman,Otomatik Portakal,NaN,"37,70"
Roman,Harry Potter ve Sırlar Odası - 2,5.0,"149,50"
Roman,Arafta Düet,NaN,"124,50"
Roman,Visal - Ahu Döngüsü,NaN,"142,45"
Roman,Göldeki Kadın,NaN,"110,00"
Roman,Enkaz Altındakiler 2,NaN,"155,40"
Roman,Daluyku – İs Serisi 5,NaN,"123,75"
Roman,İhtilal 1 - Zelzele,NaN,"176,00"
Roman,Tuvaldeki Yaralar,5.0,"126,75"
Roman,Icebreaker,5.0,"176,00"
Roman,Sobe,5.0,"157,50"
Roman,İyi Bir Kızın Cinayet Rehberi,NaN,"165,00"
Roman,Benim Olağanüstü Akıllı Arkadaşım,NaN,"211,25"
Roman,Masumiyet Müzesi,NaN,"195,00"
Roman,Hayvan Çiftliği,5.0,"48,00"
Roman,İki Şehrin Hikayesi,NaN,"80,60"
Roman,Sergüzeşt Günümüz Türkçesiyle,NaN,"23,40"
Roman,Ateşpare - 6 Hediyeli Özel Kutu,NaN,"239,40"
Roman,Bir Kibritle Yok Olmak 1,NaN,"197,76"
Roman,Buzdan Kıvılcım Zirve Ötesi Serisi - 1,NaN,"155,40"
Roman,Yılan ve Gecenin Kanatları,NaN,"175,00"
Roman,Gökçen 2: Geride Kalanlar,NaN,"173,40"
Roman,Gökçen İki Kitaplık Set,NaN,"424,80"
Roman,Sokak Nöbetçileri 3,NaN,"197,40"
Roman,Körlük,NaN,"179,40"
Roman,Sol Ayağım,NaN,"95,40"
Roman,Yaralasar 3,5.0,"185,40"
Roman,Harry Potter ve Azkaban Tutsağı - 3,NaN,"195,00"
Roman,Bülbülü Öldürmek,5.0,"147,00"
Roman,Av Serisi 4 - Lider,NaN,"185,40"
Roman,Aile İçi Cinayet,NaN,"164,45"
Roman,Gölgenin Güneşi 2 - Vatan Uğruna,NaN,"140,00"
Roman,Saklı Gerçekler,NaN,"133,25"
Roman,Kalpsiz,NaN,"155,40"
Roman,Siyam 3 - Küllerinden,NaN,"207,00"
Roman,Emare - Pusula,5.0,"173,40"
Roman,1984,5.0,"73,60"
Roman,Kya`nın Şarkı Söylediği Yer,5.0,"124,50"
Roman,Değersiz Bir Hayat,NaN,"351,00"
Roman,Doğu Ekspresinde Cinayet,5.0,"180,96"
Roman,Yere Yakın Yıldızlara Uzak,5.0,"119,10"
Roman,Tam Benim Tipim!,NaN,"107,50"
Roman,Flört,NaN,"160,00"
Roman,Bitiş Çizgisi,NaN,"125,00"
Roman,Karanlığın Şehri 3,NaN,"197,40"
Roman,Ağustosta Görüşürüz,NaN,"83,20"
Roman,Bronz 2 Kutulu,NaN,"175,00"
Roman,Bronz 2,NaN,"145,00"
Roman,Dördüncü Kanat,NaN,"357,50"
Roman,Gölgenin Güneşi,NaN,"132,50"
Roman,Davetiye,NaN,"120,00"
Roman,Ötanazi Okulu 3,5.0,"185,40"
Roman,Siyam,5.0,"177,00"
Roman,Sırça Fanus,NaN,"138,00"
Roman,Karantina: Üçüncü Perde,NaN,"143,40"
Roman,Sefiller 2 Cilt Takım,NaN,"195,00"
Roman,Issız Kar Taneleri,NaN,"122,50"
Roman,Kırmızı Pazartesi,NaN,"96,00"
Roman,Kızıl Veba,5.0,"27,30"
Roman,Nietzsche Ağladığında,NaN,"210,00"
Roman,Ben Kirke,NaN,"150,00"
Roman,Molly Nerede,NaN,"161,85"
Roman,Bir Kibritle Yok Olmak - 1,NaN,"184,96"
Roman,Doksan Artı Dört - 2 Kutulu Set,NaN,"179,50"
Roman,Ateşpare 6,NaN,"167,40"
Roman,Sen Ne Dilersen,NaN,"197,76"
Roman,Mor Salkımlı Sokak,NaN,"100,00"
Roman,On Üç’ü Saklamak,NaN,"197,50"
Roman,Maça Kızı 8 - 3. Kitap,NaN,"219,70"
Roman,Vampir Lordu ile Düello,NaN,"190,00"
Roman,Gece ve Sonra,NaN,"148,40"
Roman,Doksan Artı Dört - 1,NaN,"144,50"
Roman,İs Kokan Zeytin Ağacı,NaN,"173,40"
Roman,Kırgın Fısıltılar,NaN,"113,75"
Roman,İhtilal 1 - Zelzele,NaN,"154,00"
Roman,Son Sürat,NaN,"161,85"
Roman,Ötanazi Okulu 4,4.66666666666665,"185,40"
Roman,Çarpık Oyunlar,2.0,"175,00"
